terminal_id,mercadoria_id,patio_id,capacidade_vg_dia,capacidade_tu_dia,horas_funcionamento_dia,tempo_medio_carga_vg_h,tempo_medio_carga_tu_h,tempo_medio_descarga_vg_h,tempo_medio_descarga_tu_h
1,1,201.0,30,1140,24.0,1.3,47.5,0,0
2,2,27.0,154,8624,24.0,4.6,256.7,1.8,102.7
3,3,125.0,65,3575,10.0,6.5,357.5,0,0
4,3,125.0,50,2750,10.0,5,275,0,0
5,4,1.0,34,1088,24.0,1.4,45.3,0,0
6,3,,25,1375,8.0,3.1,171.9,0,0
7,3,,50,2750,8.0,6.3,343.8,0,0
8,3,,50,2750,8.0,6.3,343.8,0,0
9,4,,50,1950,24.0,2.1,81.3,0,0
10,3,,50,2750,8.0,6.3,343.8,0,0
11,3,,35,1925,8.0,4.4,240.6,0,0
12,1,,8,360,10.0,0,0,0.8,36
13,3,136.0,15,825,8.0,1.9,103.1,0,0
14,3,136.0,50,2750,15.0,3.3,183.3,0,0
15,3,136.0,40,2200,10.0,4,220,0,0
16,3,136.0,80,4400,15.0,5.3,293.3,0,0
17,3,136.0,60,3300,11.0,5.5,300,0,0
18,5,136.0,28,1568,10.0,0,0,2.8,156.8
19,6,136.0,20,1140,18.0,0,0,1.1,63.3
8,3,8.0,120,6600,24.0,0,0,5,275
20,7,8.0,72,4032,24.0,3,168,0,0
21,7,8.0,64,3584,24.0,2.7,149.3,0,0
22,3,8.0,50,2750,24.0,0,0,2.1,114.6
23,3,8.0,120,6600,24.0,0,0,5,275
24,3,8.0,110,6050,24.0,0,0,4.6,252.1
25,3,8.0,105,5775,24.0,0,0,4.4,240.6
26,6,8.0,18,1026,24.0,0.8,42.8,0,0
27,3,8.0,75,4125,24.0,0,0,3.1,171.9
28,3,8.0,120,6600,24.0,0,0,5,275
28,8,8.0,240,18000,24.0,0,0,10,750
29,3,8.0,200,11000,24.0,0,0,8.3,458.3
29,6,8.0,50,2850,12.0,4.2,237.5,0,0
30,3,8.0,90,4950,24.0,0,0,3.8,206.3
31,3,8.0,50,2750,24.0,0,0,2.1,114.6
32,8,8.0,40,3000,24.0,0,0,1.7,125
33,8,8.0,120,9000,24.0,0,0,5,375
33,3,8.0,150,8250,24.0,0,0,6.3,343.8
34,4,8.0,164,4428,24.0,0,0,3.4,91.8
34,4,8.0,164,4428,24.0,3.4,91.8,0,0
14,3,38.0,45,2475,24.0,1.9,103.1,0,0
35,3,38.0,33,1815,16.0,2.1,113.4,0,0
36,3,38.0,30,1350,24.0,1.3,56.3,0,0
25,3,38.0,60,2700,24.0,2.5,112.5,0,0
37,9,198.0,84,4704,24.0,1.5,84,2,112
13,3,137.0,30,1650,8.0,3.8,206.3,0,0
13,10,137.0,8,448,12.0,0.7,37.3,0,0
38,11,137.0,32,1792,10.0,0,0,3.2,179.2
4,10,137.0,10,560,12.0,0.8,46.7,0,0
39,12,137.0,9,504,10.0,0,0,0.9,50.4
40,3,211.0,60,3300,14.0,4.3,235.7,0,0
41,6,9.0,20,1140,18.0,1.1,63.3,0,0
42,13,9.0,120,7680,24.0,0,0,5,320
43,6,9.0,30,1710,24.0,1.3,71.3,0,0
44,3,9.0,80,4400,10.0,0,0,8,440
44,6,9.0,20,1140,18.0,1.1,63.3,0,0
45,6,9.0,25,1425,20.0,1.3,71.3,0,0
46,11,88.0,30,1680,12.0,0,0,2.5,140
47,8,191.0,40,3000,20.0,2,150,0,0
47,3,191.0,160,8800,18.0,8.9,488.9,0,0
38,14,191.0,80,4480,12.0,3.3,186.7,3.3,186.7
48,1,191.0,20,760,10.0,0,0,2,76
49,14,191.0,56,3136,24.0,1,56,1.3,74.7
31,3,191.0,40,2200,16.0,2.5,137.5,0,0
12,1,191.0,10,450,24.0,0,0,0.4,18.8
50,8,191.0,80,6000,20.0,4,300,0,0
31,3,196.0,160,8800,22.0,7.3,400,0,0
14,3,71.0,260,14300,24.0,10.8,595.8,0,0
8,3,71.0,100,5500,24.0,4.2,229.2,0,0
51,3,71.0,25,1375,16.0,1.6,85.9,0,0
52,3,71.0,20,1100,16.0,1.3,68.8,0,0
53,3,71.0,100,5500,24.0,4.2,229.2,0,0
54,8,71.0,135,10125,24.0,5.6,421.9,0,0
12,1,71.0,18,810,24.0,0,0,0.8,33.8
55,13,103.0,120,7680,24.0,5,225,0,0
18,11,184.0,48,2688,12.0,2,112,2,112
39,11,184.0,56,3136,12.0,2.3,130.7,2.3,130.7
56,10,139.0,18,1008,12.0,1.5,84,0,0
57,3,139.0,15,825,10.0,1.5,82.5,0,0
58,1,139.0,5,190,10.0,0,0,0.5,19
49,11,139.0,108,6048,14.0,0,0,7.7,432
38,15,159.0,96,5376,24.0,3,168,1,56
18,16,159.0,52,2912,24.0,1.7,93.3,0.5,28
39,16,159.0,56,3136,24.0,1.8,98,0.6,32.7
12,17,159.0,20,1140,24.0,0,0,0.8,47.5
12,1,7.0,36,1620,24.0,1.5,67.5,0,0
12,17,7.0,20,1140,24.0,0.8,47.5,0,0
59,3,122.0,100,5000,24.0,0,0,4.2,208.3
14,3,122.0,60,3000,24.0,0,0,2.5,125
60,3,122.0,100,5000,24.0,0,0,4.2,208.3
61,3,122.0,80,4000,24.0,0,0,3.3,166.7
62,6,122.0,20,1140,18.0,1.1,63.3,0,0
63,3,192.0,120,6600,20.0,6,330,0,0
63,8,192.0,80,6000,20.0,4,300,0,0
64,3,138.0,15,825,9.0,1.7,91.7,0,0
14,3,52.0,140,7700,24.0,0,0,5.8,320.8
65,3,52.0,60,3300,24.0,0,0,2.5,137.5
66,6,52.0,25,1425,16.0,1.6,89.1,0,0
67,6,52.0,10,570,16.0,0.6,35.6,0,0
68,3,52.0,200,11000,24.0,0,0,8.3,458.3
69,8,197.0,160,12000,24.0,6.7,500,0,0
69,3,197.0,120,6600,24.0,5,275,0,0
69,11,197.0,100,5600,24.0,2.5,140,1.7,93.3
70,3,134.0,20,1100,11.0,1.8,100,0,0
71,6,6.0,20,1140,18.0,1.1,63.3,0,0
72,3,212.0,60,3300,10.0,6,330,0,0
58,1,41.0,22,836,10.0,0,0,2.2,83.6
